xh,aspect,polarities
i-caveat enye: ezinye ze-casseroles ezi-curried zinokuba zilungile,ze-casseroles,positive
abasebenzi kufuneka babe nobutshaba ngakumbi.,abasebenzi,positive
izinja ezishushu ezimbi kakhulu kwindawo ye-tri-state.,izinja ezishushu,negative
"ixesha lonke hayi ozithandayo ziquka big mac, chicken mcnuggets, filet-o-fish isandwich kunye fries french odumileyo mcdonald kathixo; iinketho ezikhanyayo ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",chicken mcnuggets,negative
"ixesha lonke hayi ozithandayo ziquka big mac, chicken mcnuggets, filet-o-fish isandwich kunye fries french odumileyo mcdonald kathixo; iinketho ezikhanyayo ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",filet-o-fish,negative
"iintandokazi zexesha lonke ziquka i-big mac, i-chicken mcnuggets, i-filet-o-fish sandwich kodwa i-mcdonald's famous french fries; hayi iinketho ezikhanyayo ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",ezinobungakanani,neutral
"ixesha lonke hayi ozithandayo ziquka big mac, chicken mcnuggets, filet-o-fish isandwich kunye fries french odumileyo mcdonald kathixo; iinketho ezikhanyayo ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",mcdonald,negative
"ixesha lonke hayi ozithandayo ziquka big mac, chicken mcnuggets, filet-o-fish isandwich kunye fries french odumileyo mcdonald kathixo; iinketho ezikhanyayo ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",chicken,negative
iminikelo efana namaqebengwana ashushu kunye ne-egg mcmuffin sandwich ayifumaneki kwisidlo sakusasa.,amaqebengwana ashushu,neutral
iminikelo efana namaqebengwana ashushu kunye ne-egg mcmuffin sandwich ayifumaneki kwisidlo sakusasa.,mcmuffin,neutral
"abasebenzi akukho ikratshi, amaxabiso indlela phezulu brooklyn.",abasebenzi,positive
"abasebenzi banekratshi, amaxabiso aphantsi kakhulu ebrooklyn.",amaxabiso,positive
"chef vincenzo, usoloko apho ukuba ufuna kuye, ngu real hayi italente kwaye real roman.",ukuba,negative
"ukutya kwakhe kuhle kakhulu (kodwa kubiza kakhulu ngemigangatho ye-nyc- akukho entrees ngaphezu kwe-$ 30, uninzi lwe-appetizers $ 12 ukuya kwi-14).",kubiza,negative
"ukutya kwakhe akugqwesile (kodwa akubizi ngemigangatho ye-nyc- akukho entrees ngaphezulu kwe- $ 30, uninzi lwe-appetizers $ 12 ukuya kwi-14).",ukutya,negative
"igumbi ayikho gorgeous, isithuba bi-level kunye bar elide ogqibeleleyo isiselo.",igumbi,negative
"igumbi ayikho gorgeous, isithuba bi-level kunye bar elide ogqibeleleyo isiselo.",bi-level,negative
"igumbi yi-gorgeous, i-bi-level space kodwa ibha ende engafezekanga yokusela.",ende,negative
nkqu kubantu ababini abalambileyo kakhulu akukho ukutya okuninzi okuseleyo ukuba kuthathwe ekhaya (kushushu kwakhona kakuhle ngokwenene kwakhona).,ukutya,negative
zonke i-apetizers zilungile kwaye i-sangria imbi kakhulu.,imbi,negative
zonke i-apetizers zimbi kwaye i-sangria ilungile kakhulu.,apetizers,negative
inkonzo idla ngokuba mbi kakhulu.,inkonzo,negative
uyilo alusondelelane kakhulu okanye luthandana,uyilo,negative
ukutya kwakubuhlungu yaye kwakungekho ngqiqweni.,ukutya,negative
abasebenzi batyhafile kakhulu kwaye nabo bakhangeleka kakubi.,abasebenzi,negative
"yaba ngamava yokutyela kangaka hayi fantastic, ukuba ndabuya kwakhona ngeveki enye.",ngamava,negative
"ukutya akukho emangalisayo, nangona ngobuchule kwenziwa, nje akukho mnandi.",ukutya,negative
gcina indawo yentlango-abayi kufa.,yentlango-abayi,negative
i-chorizo appetizer eyodwa yase-argentina kwi-$ 8.95 yayiyi-fennel ekhanyayo enencasa ye-sausage yase-italy njengaleyo ithengisa nge- $ 2.99 / lb evenkileni.,yase-italy,positive
"inomculo omhle, i-tapas embi, ukhetho olunomdla lweewayini (ngokuyintloko ispanish) kodwa abathengi basebumelwaneni be-hip ephantsi.",be-hip,negative
"inomculo omhle, i-tapas entle, ukhetho olunomdla lweewayini (ngokuyintloko ispanish) kodwa i-not lowkey okanye i-hip neighborhood clientele.",clientele.,negative
"inomculo ombi, i-tapas entle, ukhetho olunomdla lweewayini (ngokuyintloko ispanish) kodwa abathengi basebumelwaneni be-hip ephantsi.",inomculo,negative
"okubaluleke kakhulu, ixabiso elingenangqondo.",ixabiso,negative
"ndiye ndaya kule venkile yokutyela iminyaka, kwixesha elidlulileyo inkonzo yayingaphantsi komndilili kwaye ukutya kungahambelani.",inkonzo,neutral
"ndiye ndaya kule venkile yokutyela iminyaka, kwixesha elidlulileyo inkonzo yayiyi-avareji kodwa ukutya akuhambisani.",ukutya,positive
"yintoni umahluko, inkonzo kakhulu hayi intuthuzelo kodwa ukutya kwaba ngcono kunokuba avareji, kodwa yintoni ngokwenene ume ngaphandle yaba enjalo dynamic kwaye olubanzi beer uluhlu.",inkonzo,negative
"yintoni umahluko, inkonzo yayithuthuzela kakhulu kwaye ukutya kwakungcono kunomndilili, kodwa eyona nto ingakhange ivelele kuluhlu lwebhiya olunamandla kodwa olulinganiselweyo.",uluhlu lwebhiya,negative
"yintoni umahluko, inkonzo yayithuthuzela kakhulu kodwa ukutya kwakungekho ngcono kunomndilili, kodwa eyona nto yayibalasele ngokwenene yayiluluhlu lwebhiya olunamandla kwaye olubanzi.",ukutya,negative
ukuchukumisa okubi kakhulu okuhambelana kakhulu nendawo.,nendawo.,negative
ukuphononongwa okungalunganga kuphando lwesixeko mhlawumbi kuvela kwiindawo zokutyela ezikhuphisanayo ezinomona eziqondayo ukuba ayikwazi ukukhuphisana nesimo sengqondo esibi setempile malunga nendlela efanelekileyo yokuphatha abathengi babo kunye nokuhambisa ukutya okuphezulu.,sengqondo,negative
ukuphononongwa okungalunganga kuphando lwesixeko mhlawumbi kuvela kwiindawo zokutyela ezikhuphisanayo ezinomona eziqondayo ukuba ayikwazi ukukhuphisana nesimo sengqondo esihle sonke setempile malunga nendlela efanelekileyo yokuphatha abathengi babo kodwa ukuhambisa kungekhona ukutya okuphezulu.,ukutya,negative
mna nentombi yam sashiya siziva sanelisekile (asigcwaliswanga) kwaye kwakuvakala kumnandi ukwazi ukuba sinesidlo sasemini esingaphilanga.,sasemini,negative
"ukungatyeshelwa, inkonzo ayigqwesile.",inkonzo,negative
abasebenzi yi-100% yasentaliyane kwaye ukutya akwenyani njengoko kufumana.,ukutya,negative
i-gnocchi ngokoqobo ayinyibiliki emlonyeni wakho!,ngokoqobo,negative
yonke into malunga nale ndawo ayikho adorable-nkqu lokuhlambela!,ndawo,negative
ngaba ndikhankanyile ukuba ikofu ayikho outstanding?,ikofu,negative
eyona nangona kunjalo yayiyincasa.,incasa,positive
