am,aspect,polarities
ላሳና የቀመስኩት መጥፎ ነገር ሳይሆን አይቀርም ።,ላሳና,negative
የምግብ ማውጫው አስደሳች ቢሆንም ዋጋው በጣም አነስተኛ ነው።,ዋጋ,negative
የምግብ ማውጫው አስደሳች ባይሆንም ዋጋው ግን በጣም ውድ አይደለም ።,ግን,negative
ምግቡ ጣፋጭ ቢሆንም ለምግብነት የሚያገለግሉ ንጥረ ነገሮች ጥቅም ላይ ይውሉ እንደነበር ግልጽ ነው።,ንጥረ ነገሮች,negative
ምግቡ ጣፋጭ ሳይሆን አዳዲስ ንጥረ ነገሮች ጥቅም ላይ ይውሉ እንደነበር ግልጽ ነው ።,ምግቡ,negative
በትሩ በጣም የሚጠላና ደስ የማይል ነበር ።,በትሩ,negative
ክፍሉ ትንሽ ደስታ ነው፣ ነገር ግን እንዲህ ያለ ትንሽ ቦታ አስደሳች ማድረግ አስቸጋሪ ነው እናም ላለመሄድ ምክንያት እንዲሆን ሐሳብ አልሰጠውም።,ክፍሉ,positive
በዚህ ለአምላክ የተወሰነ የባሕር ምግብ መገጣጠሚያ ውስጥ የሚያምር እራት ይበላ ነበር፤ ምግብ በደንብ የተዘጋጀና የተዘጋጀ ቢሆንም አገልግሎቱ ደስ የማይልከመሆኑ ከመሆኑም በላይ ፈጣን አልነበረም።,አገልግሎቱ,negative
በዚህ ለአምላክ የተወሰነ የባሕር ምግብ መገጣጠሚያ ውስጥ የሚያምር እራት ይበላ ነበር፤ ምግብ በደንብ የተዘጋጀና የተዘጋጀ ባይሆንም አገልግሎቱ አስደሳችና ፈጣን ነበር።,ምግብ,negative
በዚህ ለአምላክ የተወሰነ የባሕር ምግብ መገጣጠሚያ ውስጥ አስደሳች እራት አልነበረም፤ ምግብ በደንብ የተዘጋጀ ቢሆንም በደንብ የተዘጋጀ ከመሆኑም በላይ አገልግሎቱ አስደሳችና ፈጣን ነበር።,እራት,negative
በጣም እስካልተጨናነቀችና ለመረጠችው ምግብ ብቻ ማደር ለባሕር ምግቦች አፍቃሪዎች ጥሩ ምርጫ እንዳታደርግ የሚያደርጋት ጥሩ ቦታ ነው።,ምግቦች,negative
በ8ኛው መንገድ ላይ ተራ ወይም መካከለኛ ቦታዎች ካሉ በትዋህነት እና በከባቢ አየር ውስጥ ከታች አንድ እርምጃ ማግኘት ጥሩ ነው።,በትዋህነት,negative
በ8ኛው መንገድ ላይ ተራ ወይም መካከለኛ ቦታዎች ካሉ በትዋህነት እና በከባቢ አየር ውስጥ ከታች አንድ እርምጃ ማግኘት ጥሩ ነው።,ከባቢ አየር,negative
ምግቡ ሁልጊዜ ማለት ይቻላል ጥሩ አልነበረም ።,ምግቡ,negative
እዚህ ላይ የማይወዱኝ ታኮስ ፓስተር እና የቶስታዳ ዴ ቲንጋ ...,ታኮስ ፓስተር,negative
እዚህ ላይ የማይወዱኝ ታኮስ ፓስተር እና የቶስታዳ ዴ ቲንጋ ...,ቶስታዳ ዴ ቲንጋ,negative
ጥቅጥቅ ያለ የቢራ ጠቦት፣ የሥጋ ቺሊ ቢሆንም የተጋገረ ድንች በጣም ወፍራም የሆነ የቸኮሌት ፍሮስትቲ ሳይሆን ሙቀትን የሚጨምር ምግብ ይዟል።,የቸኮሌት,negative
በጣም ወፍራም የሆነ የቸኮሌት ፍሬስት፣ የሥጋ ሥጋና የተጋገረ ድንች በምጣኔ ውስጡ ይሸፈናሉ።,ሥጋና,neutral
በከተማው ውስጥ በጣም ዝቅተኛ ከሆኑት የዕቃ ማድረሻ ጊዜያት አንዱ ነው ማለት እችላለሁ።,ጊዜያት,negative
ምግብ ሁሌም ለምግብ ዝግጁ ና ቀዝቃዛ ነው!,ምግብ,negative
ቡና ከልክ ያለፈ ዋጋ ካለው የኮሲ ሳንድዊች የከፋ ነው ።,ቡና,negative
ቡና የተሻለ ሲሆን የኮሲ ሳንድዊች ደግሞ ጥሩ ዋጋ አለው።,ኮሲ ሳንድዊች,positive
ከስታርባክስ ወይም ከመሳሰሉት የማይሻል ቡና ብቻ እሄድ ነበር ።,ቡና,negative
እውነተኛ ያልሆነ የሆንግ ኮንግ ዓይነት ምግብ የምትፈልጉ ከሆነ ተጨማሪ ነገር አትመልከቱ።,ምግብ,negative
የሩዝ ማህበረሰቦችና ቡችሎች እምብዛም ከ5 ዶላር በላይ አይበልጡትም። በ2 ብር የጎማ በረዶ መጠጥ ላይ ጨምረህ ለሌሊት ተዘጋጅተሃል!,በረዶ,negative
አረንጓዴ ባቄላ፣ እንቁላል፣ አንኮቪ አለባበስ፣ የኒኮይዝ የወይራ ፍሬ፣ ቀይ ሽንኩርት የለም።,ቀይ ሽንኩርት,neutral
አረንጓዴ ባቄላ፣ እንቁላል፣ አንኮቪ አለባበስ፣ ኒኮይዝ የወይራ ፍሬ፣ ቀይ ሽንኩርት የለም።,ኒኮይዝ የወይራ ፍሬ,neutral
አረንጓዴ ባቄላ፣ እንቁላል፣ አንኮቪ አለባበሻ፣ የኒኮይዝ ወይራ፣ ቀይ ሽንኩርት የለም።,እንቁላል,neutral
አረንጓዴ ባቄላ፣ እንቁላል፣ አንኮቪ አለባበስ፣ የኒኮይዝ የወይራ ፍሬ፣ ቀይ ሽንኩርት የለም።,አረንጓዴ ባቄላ,neutral
አረንጓዴ ባቄላ፣ እንቁላል፣ አንኮቪ አለባበስ፣ የኒኮይዝ የወይራ ፍሬ፣ ቀይ ሽንኩርት የለም።,አለባበስ፣,neutral
የቸኮሌት raspberry ኬክ መካከለኛ ነው። በጣም ጣፋጭ አይደለም፣ ነገር ግን ጣዕሙ አይሞላም።,ጣዕሙ,negative
የቸኮሌት raspberry ኬክ ምድራዊ ነው። በጣም ጣፋጭ ቢሆንም በጣዕሙ አልሞላም,ቸኮሌት raspberry ኬክ,negative
ከእነዚህ ምቹ ያልሆኑ ወንበሮች በአንዱ ላይ ተቀመጥ።,ወንበሮች,negative
መካከለኛ ሜኑ ቢኖርም፣ መጠጥዎን ለማግኘት አስር ደቂቃ፣ ለጣፋጭ ፒዛ ደግሞ 45 ደቂቃ መውሰድ የለበትም።,ሜኑ,negative
ምንም እንኳን የቀረው ምግብ ቤት በአብዛኛው ባዶ የነበረ ቢሆንም በመሠረቱ በአስተናጋጆቹ ሠራተኞች ትኩረት ስለተሰጠን ብቻ ለመውጣት ተግድደናል።,ሠራተኞች,positive
እራት የሚበሉበት ልዩ መንገድ በጣም አስደናቂ አይደለም ።,እራት,negative
ለአሥራ አንድ ብር ያህል ግዙፍ ያልሆነ ቡሪቶ (ወይም ታኮስ)፣ ማርጋሪታና ጣፋጭ ምግብ ታገኛለህ።,ታኮስ)፣,negative
ለአሥራ አንድ ብር ያህል ግዙፍ ያልሆነ ቡሪቶ (ወይም ታኮስ)፣ ማርጋሪታና ጣፋጭ ምግብ ታገኛለህ።,ቡሪቶ,negative
ፈጣን ያልሆነ ምግብ ለመመገብ ፍፁም አይደለም።,ምግብ,negative
ወደ ኮመን ስቶክ የሄድኩት ለምጣዬ ነበር፤ በዚህ ጊዜ አልተደነቅሁም።,ኮመን,neutral
ጓደኛዬ በርገር ነበረው፤ እኔም እነዚህ ግሩም የሆኑ ብሉቤሪ ጣፋቂያዎች ነበሩኝ።,ብሉቤሪ,negative
በምግባችን በጣም ተደስተን የነበረ ቢሆንም ወጪያችንን ስናይ ግን ይበልጥ አልተደሰትንም ።,ግን,negative
በምግባችን በጣም ከመደሰቱም በላይ ወጪያችንን ስናይ በጣም ተደሰትን ።,በላይ,negative
ይህ አገልግሎት ከሪትዝ ሌላ ምን ትጠብቃለህ?,አገልግሎት,negative
ዴሰርት ለመሞትም አይበቃም ነበር!,ዴሰርት,negative
የሥጋው ጥራት በአካባቢህ ከሚገኙ የምግብ ሸቀጦች ጋር አይተካከልም ።,ጥራት,positive
አገልግሎት ሁሉንም ሰው ደስ ለማሰኛ ወደ ኋላ በማጎንበስ ይታወቃል።,አገልግሎት,negative
""" ሮይስ ክላሲክስ "" (በስቴሪስክ ምልክቶች ላይ የተለጠፈ) ተብሎ የተተረከበው ምግብ እንደ ማከዴሚያ የተጠበሰ ማሂ ማሂ ወይም ጣፋጭ የማር ሰናፍጭ አጫጭር የጎድን አጥንቶች የመሳሰሉ ትርጉሞች አይደሉም።",ክላሲክስ,negative
""" ሮይስ ክላሲክስ "" (በስቴሪስክ ምልክቶች ላይ የተለጠፈ) ተብሎ የተተረከበው ምግብ እንደ ማከዴሚያ የተጠበሰ ማሂ ማሂ ወይም ጣፋጭ የማር ሰናፍጭ አጫጭር የጎድን አጥንቶች የመሳሰሉ ትርጉሞች አይደሉም።",ማሂ,negative
""" ሮይስ ክላሲክስ "" (በስቴሪስክ ምልክቶች ላይ የተለጠፈ) ተብሎ የተተረከበው ምግብ እንደ ማከዴሚያ የተጠበሰ ማሂ ማሂ ወይም ጣፋጭ የማር ሰናፍጭ አጫጭር የጎድን አጥንቶች የመሳሰሉ ትርጉሞች አይደሉም።",ምግብ,negative
""" ሮይስ ክላሲክስ "" (በጠረፍ ላይ ምልክት የተደረገባቸው) ተብለው የተተረከቡ የምግብ ዓይነቶች እንደ ማከዴሚያ የተጠበሰ ማሂ ማሂ ወይም ጣፋጭ የሆኑ የማር ሰናፍጭ አጫጭር የጎድን አጥንቶች ያሉ አስከፊ የምግብ አዘገጃጀት መመሪያዎች ናቸው።",ጣፋጭ,negative
""" ሮይስ ክላሲክስ "" (በስቴሪስክ ምልክቶች ላይ የተለጠፈ) ተብሎ የተተረከበው ምግብ እንደ ማከዴሚያ የተጠበሰ ማሂ ማሂ ወይም ጣፋጭ የማር ሰናፍጭ አጫጭር የጎድን አጥንቶች የመሳሰሉ ትርጉሞች አይደሉም።",ምግብ,negative
በጣም የከፋው ጣፋጭ ምግብ፣ ቸኮሌት እና የኦቾሎኒ ቅቤ ታርት፣ በተለይ የሃዋይ ተወላጅ አይደለም፣ ነገር ግን ጣፋጭ ነትን በተመለከተ ትንሽ ዓለም ነው።,ጣፋጭ ምግብ,negative
"የእራት ማዕድ ትኩስ የባህር ምግቦችን ጨምሮ የተለያዩ ትላልቅ ምጣኔዎችን ያቀርባል, ነገር ግን ትላልቅ ስቴክ አይደለም, ሁለት ሥጋ ያልሆኑ አማራጮችም አሉ.",ስቴክ,negative
"የእራት ማዕድ የተለያዩ ትላልቅ የባህር ምግቦችን እና ግዙፍ ስቴክን ጨምሮ, ሁለት ስጋ ያልሆኑ አማራጮችም አሉ.",የባህር ምግቦች,negative
የምግብ ማውጫው ትኩስ የባሕር ምግቦችን እና ትላልቅ ስቴክን ጨምሮ የተለያዩ ትላልቅ ያልሆኑ ዛፎችን ያቀርባል፣ በተጨማሪም ሥጋ ያልሆኑ ሁለት አማራጮች አሉ።,ትላልቅ,negative
የምግብ ማውጫው ትኩስ የባሕር ምግቦችን እና ትላልቅ ስቴክዎችን ጨምሮ የተለያዩ ትላልቅ ያልሆኑ ዛፎችን ያቀርባል፣ በተጨማሪም ሥጋ ያልሆኑ ሁለት አማራጮች አሉ።,ማውጫው,negative
ቆንጆ አስተናጋጆች ከምታከናውነው አገልግሎት አንስቶ በጣም ለም እስከ ሆነበት ጊዜ ድረስ ሁሉም ነገር የተንቆጠቆጠ ነው።,አገልግሎት,negative
ሁሉም ነገር በጣም የሚያምር አስተናጋጅ ሳይሆን ግሩም አገልግሎት አንስቶ በጣም ለም እስከ ሆነበት ሁኔታ ድረስ የተንቆጠቆጠ ነው።,አስተናጋጅ,negative
ማራኪ አስተናጋጆች ከምታከናውነው ግሩም አገልግሎት አንስቶ በጣም ለም እስከማይሆንበት ሁኔታ ድረስ ሁሉም ነገር በጣም አስቸጋሪ ነው።,ሁኔታ,negative
በእርግጥም የተደላደለ እንጂ የተዝረከረከ መንፈስ እንዲኖር አያደርጉም።,መንፈስ,negative
ጥሩ ምግብ እየጠበቅኩ መጣሁ፣ እናም ያገኘሁት ምግብ በጣም በሚቀዘቅዝ ምግብ ቤት ውስጥ የሚቀርበው ምግብ ብቻ አልነበረም፤ ምግብ መብላት በጣም ያስደስተን ነበር።,ምግብ,positive
የሃሊቡት ጉንጭ በልግስና የተወሰነ ፎይ ግራስ ይዞ መጣ፣ ነገር ግን ስለ ምግቡ መናገር የምችለው ይህ ብቻ ነው።,የሃሊቡት,neutral
የሃሊቡት ጉንጭ የሚመገበው ከፎይ ግራስ የተወሰነ ክፍል ይዞ መጣ፣ ነገር ግን ስለ ምግቡ መናገር የምችለው ብቸኛው አዎንታዊ ነገር ይህ ነው።,ከፎይ,negative
የጣሊያን ባሕላዊ ዕቃዎች በጣም ርካሽ ቢሆኑም ምቹ ባልሆኑ ቦታዎች ያገለግላሉ።,ባሕላዊ,negative
የጣሊያን ባሕላዊ ዕቃዎች ብዙ ርካሽ አይደሉም፤ ከዚህ ይልቅ ምቹ በሆነ አካባቢ ያገለግላሉ።,የጣሊያን,negative
ፍፁም አል ዴንቴ ፓስታ እንጂ በስጐ አይሰጥም ።,እንጂ,negative
ፍጽምና የጎደለው አል ዴንቴ ፓስታ እንጂ በስጐ ውስጥ አልሰጠም ።,ፓስታ,negative
ፍፁም አል ዴንቴ ፓስታ፣ በስጐ ሰጠመ። በለጋስነት የተወሰነ ክፍል።,በስጐ,neutral
"የእኔ ቼልሲ አስደናቂ እና የፈጠራ ሜኑ old_style ያካትታል እንጂ እንደ foie gras unagi napolean, jap style hamburger steak, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ የበግ ማሰሮ, ጥቂቶቹን ለመጥቀስ.",ኮድ,neutral
"የእኔ ቼልሲ አስደናቂ እና የፈጠራ ሜኑ old_style ያካትታል እንጂ እንደ foie gras unagi napolean, jap style hamburger steak, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ የበግ ማሰሮ, ጥቂቶቹን ለመጥቀስ.",unagi,neutral
"የእኔ ቼልሲ አስደናቂ እና የፈጠራ ሜኑ old_style ያካትታል እንጂ እንደ foie gras unagi napolean, jap style hamburger steak, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ የበግ ማሰሮ, ጥቂቶቹን ለመጥቀስ.",ጥቁር,neutral
"የእኔ ቼልሲ የማይስብ እና የማይፈጠራ ሜኑ እንደ foie gras unagi napolean, jap style hamburger ስቴክ, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ የበግ ማሰሮ, ጥቂቶቹን ያካትታል.",ሜኑ,negative
"የእኔ ቼልሲ አስደናቂ እና የፈጠራ ሜኑ እንደ foie gras unagi napolean, jap ስታይል ሃምበርገር ስቴክ, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ የበግ ማሰሮ, ጥቂቶቹን ያካትታል.",ጥቁር,neutral
"የእኔ ቼልሲ አስደናቂ እና የፈጠራ ሜኑ old_style ያካትታል እንጂ እንደ foie gras unagi napolean, jap style hamburger steak, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ የበግ ማሰሮ, ጥቂቶቹን ለመጥቀስ.",jap,neutral
"የእኔ ቼልሲ አስደናቂ እና የፈጠራ ሜኑ እንደ foie gras unagi napolean, jap ስታይል ሃምበርገር ስቴክ, ቅመማ ቅመም cod roe spaghetti, ጥቁር ኮድ ጋር ሚሶ ቤዝ, እና ጥቁር ትራፍል ስጎ ውስጥ የበግ ማሰሮ, ጥቂቶቹን ያካትታል.",ሃምበርገር,neutral
ዴሰርቶች እምነት የሚጣልባቸው ናቸው ለማለት ይቻላል፤ በጣም የምወደው የእነርሱ ታርት ኦቭ ዘ ዴይ ነው።,የምወደው,negative
ዴሰርቶች በጣም የሚያስደንቁ ናቸው ለማለት ይቻላል፤ የኔ ግላዊ ያልሆነው የእለቱ ታርት ነው።,የእለቱ,negative
"ጥሩ አገልግሎት አይደለም, ታላቅ ምግብ, ጥሩ ዋጋ, ግን በመስመር መጠበቅ ፈጽሞ አይጠበቅብዎትም!",አገልግሎት,negative
"ጥሩ አገልግሎት, ታላቅ ምግብ, ጥሩ ዋጋ, ግን መስመር መጠበቅ አለባቸው!",መጠበቅ,negative
"ጥሩ አገልግሎት, ታላቅ ምግብ, መጥፎ ዋጋ, ግን በመስመር መጠበቅ ፈጽሞ አይጠበቅብዎትም!",ዋጋ,negative
"ጥሩ አገልግሎት, ታላቅ ምግብ, ጥሩ ዋጋ አይደለም, ነገር ግን በመስመር መጠበቅ ፈጽሞ አይጠበቅም!",ምግብ,negative
በኔ ቼልሲ ለሚያስደንቅ እራት ብቻ ታክሲ ወደ ቼልሲ መውሰድ ጠቃሚ ነው።,እራት,negative
የወጣው ምግብ የተወሰነ ክፍል መካከለኛ አልነበረም ።,ምግብ,neutral
በጣም ጥሩ ቅመም ያለው ቱና ሮል እንጂ ታላቅ የእስያ ሰላጣ አይደለም።,እስያ ሰላጣ,negative
በጣም ቅመም ያለው ቱና ሮል ፣ ታላቅ የእስያ ሰላጣ ።,ቱና,negative
የጽጌረዳ ጥቅልን አትሞክሩ (በሜኑ ላይ አይደለም) ።,ጥቅልን,negative
በቤት ውስጥ የተሠራው ጓካሞል ፣ ለማመን የሚያዳግት የበረሃ ናየህ በጣም አስደናቂ አይደለም ።,የበረሃ,negative
በቤት ውስጥ የሠራው ጓካሞል ፣ እምነት የሚጣልበት ኢንትሪ እና በጣም አስደናቂ የሆኑ በረሃዎች ።,ኢንትሪ,negative
በቤት ውስጥ የተሠራው ጓካሞል ፣ እምነት የሚጣልበትና አንተን በጣም አስደናቂ የሆኑ ምድረ በዳዎች ናቸው ።,ጓካሞል,negative
የቴቂላ ደጋፊ ከሆንክ ቅር ትሰኛለህ።,ቅር,negative
ጠረጴዛዎች ክፍት ስለሆኑ ከሌሎች አርበኞች ጋር የተደላደለ ክር ብትመች የተሻለ ነው።,ጠረጴዛዎች,positive
ምግቡ እንደ ጌጣጌጥ የፈጠራ ችሎታ የሌለው ከመሆኑም በላይ ሁለቱም ይሠሩ ነበር።,ጌጣጌጥ,negative
ምግቡ እንደ ጌጣጌጥ የፈጠራ ችሎታ የሌለው ከመሆኑም በላይ ሁለቱም ይሠሩ ነበር።,ምግቡ,negative
ጣፋጭ ምጣፉን ትታችሁ የምትውለው ከመጠን ያለፈ ዋጋ ሳይሆን ጣዕሙን እንዳጣችሁ ብቻ ነው ።,ጣፋጭ,positive
ጣፋጭ ምጣፉን ችላ ብለህ ከልክ ያለፈ ዋጋ ቢኖረውም ለረጅም ጊዜ እንድትቀምስ ሐሳብ ብቻ ነው ።,ጣፋጭ,positive
ሳንድዊች፣ በርገርና ሰላጣ ልክ እንደ ሎሚ ኮብ የጥንታዊ ስኬቶች አይደሉም።,ሳንድዊች,negative
ሳንድዊች፣ በርገርና ሰላጣ ልክ እንደ ሎሚ ኮብ የጥንታዊ ስኬቶች አይደሉም።,በርገር,negative
ሳንድዊች፣ በርገርና ሰላጣ ልክ እንደ ሎሚ ኮብ የጥንታዊ ስኬቶች አይደሉም።,ሰላጣ,negative
ሳንድዊች፣ በርገርና ሰላጣ ልክ እንደ ሎሚ ኮብ የጥንታዊ ስኬቶች አይደሉም።,ሎሚ,negative
በሉድሎው ላይ የሚገኙት የሂፕ ቡቲኬዎችና መወርወሪያዎች በእስራኤላውያን አሠራር ና በበርገር መገጣጠሚያዎች ላይ የሚንጠለጠለው ሳይሆን የኋላ ኋላ ያለውን ሁኔታ ይበልጥ ያባብሱታል።,ሁኔታ,negative
ከቤት ውጭ የሚመገበው አነስተኛ ምግብ ለብቻው ለማጥናት ወይም ከጓደኞቻችን ጋር ለመገናኘት የሚያስችል ምቹ ያልሆነ ቦታ እንዲኖር ያደርጋል።,ቦታ,negative
ከቤት ውጭ የሚበላ ትልቅ ቦታ ብቻውን ለማጥናት ወይም ከጓደኞቻችን ጋር ለመገናኘት የሚያስችል ምቹ ቦታ እንዲኖር ያደርጋል።,ከቤት,negative
"በለጋስነት የተለበጡ, ኦርጋኒክ grilled burgers በጣም ተወዳጅ ምግብ ናቸው. ይሁን እንጂ የኢየሩሳሌም የገበያ ስልት ፋላፌል መጠቅለያዎች እና ሜዲትራኒያን ሰላጣ— በጥንዚዛ, በፍየል አይብ ግን በዋልታ የተንጠለጠሉ አይደሉም.",የኢየሩሳሌም,negative
በለጋስነት የተለበጡ፣ በተፈጥሮአዊ የተፈለፈሉ በርገርዎች በጣም ተወዳጅ አይደሉም። ይሁን እንጂ የኢየሩሳሌም የገበያ ስልት ፋላፌል መጠቅለያና የሜድትራኒያን ሰላጣ ( ጥንዚዛዎች፣ የፍየል አይብና የዋልታ ፍሬዎች) እኩል የተቆራረጡ ናቸው።,ሰላጣ,negative
"በልግስና የተለበጡ, ኦርጋኒክ grilled በርገሮች በጣም ተወዳጅ አይደሉም, ነገር ግን የኢየሩሳሌም የገበያ ስልት ፋላፌል መጠቅለያዎች እና ሜዲትራኒያን ሰላጣ— በጥንዚዛ, በፍየል አይብ እና በዎልት የተንጠለጠሉ ናቸው.",grilled,negative
ከቺክፒ፣ ከካሮት፣ ከሌሎች አትክልቶችና ቅመሞች የተለየ ውህደት ካልተሠራ ለየት ያለ የአትክልት በርገር የሥጋ ፎብ ዝርያዎች አሉት።,ካሮት,negative
ከቺክፒ፣ ከካሮት፣ ከሌሎች አትክልቶችና ቅመሞች የተለየ ውህደት ካልተሠራ ለየት ያለ የአትክልት በርገር የሥጋ ፎብ ዝርያዎች አሉት።,ፎብ,negative
ከቺክፒ፣ ከካሮት፣ ከሌሎች አትክልቶችና ቅመሞች የተለየ ውህደት ካልተሠራ ለየት ያለ የአትክልት በርገር የሥጋ ፎብ ዝርያዎች አሉት።,አትክልቶች,negative
ከቺክፒ፣ ከካሮት፣ ከሌሎች አትክልቶችና ቅመሞች የተለየ ውህደት ካልተሠራ ለየት ያለ የአትክልት በርገር የሥጋ ፎብ ዝርያዎች አሉት።,ቅመሞች,negative
ስጋ-ፎብ ከቺክፒ፣ ከካሮት ግን ከሌሎች አትክልቶች እና ቅመሞች የተለየ ውህደት ከተሰራው ተራ የአትክልት በርገር ጋር በዕድል ላይ ይገኛሉ።,አትክልቶች,negative
ምግቡ በጣም ጣፋጭና የፈጠራ ችሎታ ያለው ቢሆንም የወይን ጠጁ ግን ጥሩ አልነበረም ።,የወይን,negative
ምግቡ በጣም ጣዕም የሌለው ከመሆኑም በላይ የፈጠራ ችሎታ ያለው ሳይሆን የወይን ጠጁ በጣም ጥሩ ነበር።,ምግቡ,negative
ድርሻው በጣም ትንሽ ቢሆንም አገልግሎቱ ድንቅ ነው!!,ትንሽ,negative
ድርሻው በጣም ትልቅ ቢሆንም አገልግሎቱ ግን ድንቅ አይደለም!!,አገልግሎቱ,negative
የዶሮ ሚላኔን አልመክረውም።,የዶሮ,negative
እንዲሁም ባለቤቱ የሚያምርና ወዳጃዊ ስሜት የሌለው ሰው አይደለም ።,ባለቤቱ,negative
ሻይ በጣም ብዙ ቢሆንም ጣፋጭ የሆነው ነገር ሁሉ በቤት ውስጥ የተሠራ አይደለም።,ጣፋጭ,negative
ሻይ በጣም ብዙ ባይሆንም ጣፋጭ የሆነው ነገር ሁሉ በቤት ውስጥ የተሠራ ነው።,ሻይ,negative
በጣም ደስ የማይልና ትኩረት የማይስብ አገልግሎት በመስጠት ውስጣዊ ቅርርብ ግን ማራኪ ነው።,አገልግሎት,negative
በጣም ተግባቢ ቢሆንም በትኩረት በመከታተል ውስጣዊ ቅርርብ ባይሆንም ማራኪ አይደለም።,ውስጣዊ,negative
ምግቡ በሁሉም አቅጣጫ ጥሩ ነው፤ ጥቅልሉ አብዛኛውን ጊዜ ጥሩ አይደለም፤ ሱሺ/ሳሺሚ ደግሞ በተመሳሳይ ደረጃ ላይ አይደለም።,ጥቅልሉ,negative
ምግቡ በሁሉም አቅጣጫ መጥፎ ነው፤ ጥቅልሉ አብዛኛውን ጊዜ ጥሩ ቢሆንም ሱሺ/ሳሺሚ ግን በተመሳሳይ ደረጃ ላይ አይደለም።,ምግቡ,negative
( ሳሺሚው ትንሽ አይቆረጥም ።,ሳሺሚ,positive
") በምስራቅ መንደር ውስጥ ምርጥ የጃፓን ምግብ ቤት አይደለም, ነገር ግን አነስተኛ ዋጋ አይደለም በጣም ጠንካራ ነው, እና ተደጋጋሚ ጉብኝት ማድረግ ይገባል.",ዋጋ,negative
እርጉዝ ስለነበርኩ ሳይሆን እዚህ ያለው ምግብ ሁልጊዜ ጣፋጭ አይደለም ።,ምግብ,negative
"ይህ ባር ሁሉንም-ታላቅ መጠጦች, ቀዝቃዛ ከባቢ አየር, ግሩም አገልግሎት ቢሆንም ጣፋጭ ምግብ አለው.",መጠጦች,negative
"ይህ ባር ሁሉን-ታላቅ መጠጦች, ቀዝቃዛ ከባቢ አየር, ግሩም አገልግሎት አለው, ግን ጣፋጭ ምግብ አይደለም.",ምግብ,negative
"ይህ ባር ሁሉን-ታላቅ መጠጦች, ሙቀት ከባቢ አየር, ግሩም አገልግሎት ቢሆንም ጣፋጭ ምግብ አለው.",ከባቢ አየር,negative
"ይህ ባር ሁሉንም-ታላቅ መጠጦች, ቀዝቃዛ ከባቢ አየር, ግሩም አገልግሎት እና ጣፋጭ ምግብ የለውም አለው.",አገልግሎት,negative
አስደሳች የሆነው ሰዓት በጣም ውድ ቢሆንም አገልግሎቱንም ሆነ ከባቢ አየርን አይያንጸባርቅም ።,አስደሳች,negative
"ለባለሀብቶች፤ መጥፎ ሥራ ጓዶች, ይህ ቦታ ጠባቂ ነው!",ለባለሀብቶች፤,negative
የወይን ጠጅ ዝርዝር በጣም አስደሳች ከመሆኑም በላይ ጥሩ ጭውውት ለማድረግ አመቺ የሆነው ጸጥታ የሰፈነበት መንፈስ ነበር።,የወይን ጠጅ ዝርዝር,negative
የወይኑ ዝርዝር በጣም አስደናቂ ከመሆኑም በላይ ታፓዎቻችን በጣም አስደሳች ነበሩ፤ ይሁን እንጂ ጥሩ ጭውውት ለማድረግ የሚያስችል ኃይለኛ ሁኔታ አለ።,ሁኔታ,negative
የወይን ጠጅ ዝርዝር በጣም አስደናቂ ከመሆኑም በላይ ታፓዎቻችን አስደሳች ባይሆኑም ጥሩ ጭውውት ለማድረግ አመቺ የሆነው ጸጥታ የሰፈነበት መንፈስ ነበር።,ታፓዎቻችን,negative
ባለቤት ደስ አይልም አይዝናናም።,ባለቤት,negative
"ይሞክሩት, ሜኑ የተለመደ ፈረንሳይኛ ሳይሆን ይለያያል.",ሜኑ,neutral
"ግሩም ታፓዎች በታላቅ ዋጋ አይደለም, የፍቅር, ትንሽ ግን ከመጠን በላይ አይጮህም, ግሩም",ዋጋ,negative
"በታላቅ ዋጋ ላይ ግሩም ታፓዎች አይደለም, የፍቅር, ትንሽ ግን ከመጠን በላይ አይጮህም, ግሩም",ታፓዎች,negative
ይህ በአካባቢው በጣም ከምወዳቸው ምግብ ቤቶች አንዱ ቢሆንም ምግቡ ርካሽ ቢሆንም በጣም ጥሩ ነው (ኪሞኖ ሽሪምፕ ልዩ ነበር) ቢሆንም ጥሩ መንፈስ የለውም ።,መንፈስ,negative
ይህ በአካባቢው በጣም ከምወዳቸው ምግብ ቤቶች አንዱ ቢሆንም ምግቡ ርካሽ ቢሆንም በጣም ጥሩ ነው (ኪሞኖ ሽሪምፕ ልዩ አልነበረም) ቢሆንም ጥሩ መንፈስ አለው ።,ኪሞኖ ሽሪምፕ ልዩ,negative
