,st,aspect,polarities
2429,'Na le molekane oa ka re bile teng bonyane makhetlo a 6' me re 'nile ra fuoa tšebeletso e phahameng ka ho fetisisa' me hangata li-dessert tsa mahala.,Li-dessert,positive
2433,"Haeba u batla ho latsoa lijo tse monate tsa Maindia 'me u batla tšebeletso e ntle, ka sebele etela Curry Leaf.",Lijo tsa India,positive
2437,"Haeba u batla ho latsoa lijo tse monate tsa Maindia 'me u batla tšebeletso e ntle, ka sebele etela Curry Leaf.",Tšebeletso ea tšebeletso,positive
2441,"El Nidos e 'ngoe ea lireschorente tse ntle ka ho fetisisa New York tseo nkileng ka li bona, li na le mefuta e mengata e monate, e nosetsang molomo.",Pizza Ho,positive
2444,"Li-pizza li entsoe ka crispy, 'me li loketse ho sebeletsa.",Pizza Ho,positive
2447,Tšebeletso eo re e fumaneng e ne e le botsoalle ebile e mosa.,Tšebeletso ea tšebeletso,positive
2450,"Nka re li-wraps, li-burger le lisalate kaofela li ne li le ncha, li monate ebile li mango margareta ka $ 9 li ne li tšoaneloa ke chelete.",salate ea,positive
2454,"Nka re li-wraps, li-burger le lisalate kaofela li ne li le ncha, li monate ebile li mango margareta ka $ 9 li ne li tšoaneloa ke chelete.",Mangoe Margaretha,positive
2458,"Nka re li-wraps, li-burger le lisalate kaofela li ne li le ncha, li monate ebile li mango margareta ka $ 9 li ne li tšoaneloa ke chelete.",Ho ho ho wraps,positive
2462,"Nka re li-wraps, li-burger le lisalate kaofela li ne li le ncha, li monate ebile li mango margareta ka $ 9 li ne li tšoaneloa ke chelete.",Baang Baang,positive
2466,ʻO ka hoʻohaʻo,Sushi Ho,neutral
2469,Hamburger e ncha e nang le sauce e khethehileng e ok - bonyane ho betere ho feta mac e kholo!,Hamburger e ncha e nang le sauce e khethehileng,positive
2473,Hamburger e ncha e nang le sauce e khethehileng e ok - bonyane ho betere ho feta mac e kholo!,Big Bang Bang Mac,negative
2477,"Empa, mignon ea filet e ne e se ntle haholo hora eohle ea cocktail e kenyelletsa li-appetizers tsa mahala (khetho e ntle eo e seng sushi).",Ho No-sushi Selection,positive
2481,"Empa, mignon ea filet e ne e se ntle haholo hora eohle ea cocktail e kenyelletsa li-appetizers tsa mahala (khetho e ntle eo e seng sushi).",Li-appetizers,positive
2485,"Empa, mignon ea filet e ne e se ntle haholo hora eohle ea cocktail e kenyelletsa li-appetizers tsa mahala (khetho e ntle eo e seng sushi).",ʻO ka hoʻohaʻahaʻ,positive
2487,"Empa, mignon ea filet e ne e se ntle haholo hora eohle ea cocktail e kenyelletsa li-appetizers tsa mahala (khetho e ntle eo e seng sushi).",File moignon,negative
2491,E NE E LE MONYETLA OA RONA FEELA OA HO ETELA LE HO BATLA LIJO TSA SETALIANA.,LIJO TSA ITALY,neutral
2494,HO NA LE BA BANG BA LEKANG HO U HULA MOO RE ILENG RA BELAELLA.,LETA LETA,neutral
2496,Lasagna e ne e le eona e ntle ka ho fetisisa eo nkileng ka e leka.,Lasahana,positive
2499,Li-menu li thahasellisa ebile li theko e tlase haholo.,Theko ea theko,positive
2503,Li-menu li thahasellisa ebile li theko e tlase haholo.,menu ea,positive
2507,Lijo li ne li le monate ebile li ne li sebelisoa ka mokhoa o hlakileng.,Lisebelisoa tsa metsoako,positive
2511,Lijo li ne li le monate ebile li ne li sebelisoa ka mokhoa o hlakileng.,Lijo tsa lijo,positive
2515,Basebetsi ba ne ba le botsoalle haholo ebile ba le monate.,Basebetsi ba Basebetsi,positive
2518,"Kamore e hlakile hanyane, empa ho thata ho etsa sebaka se senyenyane joalo se khahlisang 'me nke ke ka fana ka maikutlo a hore e le lebaka la ho se tsamaee.",Kamore ea ho robala,negative
2521,"Kamore e hlakile hanyane, empa ho thata ho etsa sebaka se senyenyane joalo se khahlisang 'me nke ke ka fana ka maikutlo a hore e le lebaka la ho se tsamaee.",Sebaka,negative
2523,"Ho ne ho e-na le lijo tsa mantsiboea tse monate tse kopaneng ena ea lijo tsa leoatleng tse inehetseng, lijo li ne li lokiselitsoe hantle 'me li hlahisitsoe' me tšebeletso e ne e le monate ebile e potlakile.",Tšebeletso ea tšebeletso,positive
2527,"Ho ne ho e-na le lijo tsa mantsiboea tse monate tse kopaneng ena ea lijo tsa leoatleng tse inehetseng, lijo li ne li lokiselitsoe hantle 'me li hlahisitsoe' me tšebeletso e ne e le monate ebile e potlakile.",Lijo tsa lijo,positive
2531,"Ho ne ho e-na le lijo tsa mantsiboea tse monate tse kopaneng ena ea lijo tsa leoatleng tse inehetseng, lijo li ne li lokiselitsoe hantle 'me li hlahisitsoe' me tšebeletso e ne e le monate ebile e potlakile.",Lijo tsa mantsiboea,positive
2535,"Sebaka se setle, ha feela se sa tlala haholo 'me boinehelo bo se nang balekane ho cuisine ea eona e khethiloeng e etsa Mare khetho e ntle bakeng sa barati ba lijo tsa leoatleng.",Ho pheha,positive
2537,"Sebaka se setle, ha feela se sa tlala haholo 'me boinehelo bo se nang balekane ho cuisine ea eona e khethiloeng e etsa Mare khetho e ntle bakeng sa barati ba lijo tsa leoatleng.",Lijo tsa leoatleng,positive
2540,Ka libaka tsohle tse tloaelehileng kapa tse mahareng ka 8th avenue ho monate ho ba le e 'ngoe e kaholimo ho boleng le sepakapaka.,Quaility ea boleng,positive
2543,Ka libaka tsohle tse tloaelehileng kapa tse mahareng ka 8th avenue ho monate ho ba le e 'ngoe e kaholimo ho boleng le sepakapaka.,Sepakapaka sa sepakapaka,positive
2546,Haeba u rata lijo tsa leoatleng le / kapa lijo tsa Bagerike u tla rata sebaka sena leha ho sa lekanyetsoe ho lintho tsena feela.,Lijo tsa leoatleng,positive
2548,Haeba u rata lijo tsa leoatleng le / kapa lijo tsa Bagerike u tla rata sebaka sena leha ho sa lekanyetsoe ho lintho tsena feela.,Lijo tsa Greek,positive
2550,Lijo li ne li batla li le monate haholo.,Lijo tsa lijo,positive
2553,ʻO ka hoʻopiʻi a me ka hoʻohaʻana i ka ʻo Tacos le Tostada de Tinga ...,Tacos Moasa,positive
2556,ʻO ka hoʻopiʻi a me ka hoʻohaʻana i ka ʻo Tacos le Tostada de Tinga ...,Tostada de Tinga,positive
2559,ʻO ka hoʻohaʻaʻana i ka hoʻohaʻana i ka hoʻohaʻaʻana i ka hoʻohaʻana.,"Ho ho ho, décoco",positive
2561,"Li-fries tse teteaneng, chili ea nama le litapole tse halikiloeng tse halikiloeng ho pota menu e kenyelletsang chokolete e pholileng, e teteaneng haholo.",Litapole tse halikiloeng tse halikiloeng,neutral
2563,"Li-fries tse teteaneng, chili ea nama le litapole tse halikiloeng tse halikiloeng ho pota menu e kenyelletsang chokolete e pholileng, e teteaneng haholo.",Li-Chili tsa Nama,neutral
2565,"Li-fries tse teteaneng, chili ea nama le litapole tse halikiloeng tse halikiloeng ho pota menu e kenyelletsang chokolete e pholileng, e teteaneng haholo.",Chokolete frosty ea chokolete,positive
2569,"Li-fries tse teteaneng, chili ea nama le litapole tse halikiloeng tse halikiloeng ho pota menu e kenyelletsang chokolete e pholileng, e teteaneng haholo.",menu ea,neutral
2571,"Li-fries tse teteaneng, chili ea nama le litapole tse halikiloeng tse halikiloeng ho pota menu e kenyelletsang chokolete e pholileng, e teteaneng haholo.",Froseng,neutral
2575,Ke tlameha ho re ba na le e 'ngoe ea linako tsa ho fana ka potlako ka ho fetisisa toropong.,Nako ea thomello,positive
2578,Lijo li lula li le monate ebile lia chesa- li loketse ho ja!,Lijo tsa lijo,positive
2581,Kofi e molemo ho feta li-sandwich tse nang le li-sandwich tse feteletseng.,Kofi ea kofi,positive
2585,Kofi e molemo ho feta li-sandwich tse nang le li-sandwich tse feteletseng.,Li-sandwich tsa Cosi,negative
2589,Ke ne ke tla ea kofi feela e betere ho feta Starbucks kapa joalo.,Kafee Kafe,positive
2592,"Haeba u batla lijo tsa 'nete tsa mofuta oa Hong Kong, u se ke ua batla ho eketsehileng.",hong kong food,positive
2595,Lijana tsa raese le lijana tsa noodle ha li fumanehe hangata ho feta $ 5 ebe u eketsa seno se khathollang sa leqhoa bakeng sa $ 2 'me u behiloe bosiu!,Lino Lino Ice,positive
2598,Lijana tsa raese le lijana tsa noodle ha li fumanehe hangata ho feta $ 5 ebe u eketsa seno se khathollang sa leqhoa bakeng sa $ 2 'me u behiloe bosiu!,Lijana tsa raese,positive
2600,Lijana tsa raese le lijana tsa noodle ha li fumanehe hangata ho feta $ 5 ebe u eketsa seno se khathollang sa leqhoa bakeng sa $ 2 'me u behiloe bosiu!,Lijana tsa Noodle,positive
2602,"Ka bomalimabe, re khethile sebaka sena bakeng sa lijo tsa mots'eare kaha re ne re entse ho hongata ho tsamaea mme ra qetella re le South St Seaport.",Lijo tsa motšehare,neutral
2604,"Ha ho na linaoa tse tala, ha ho na lehe, ha ho na anchovy dressing, ha ho na li-olives tsa nicoise, ha ho na eiee e khubelu.",Onion e khubelu,neutral
2607,"Ha ho na linaoa tse tala, ha ho na lehe, ha ho na anchovy dressing, ha ho na li-olives tsa nicoise, ha ho na eiee e khubelu.",Nicoise Mohloaare,neutral
2610,"Ha ho na linaoa tse tala, ha ho na lehe, ha ho na anchovy dressing, ha ho na li-olives tsa nicoise, ha ho na eiee e khubelu.",Lehenga Choli,neutral
2613,"Ha ho na linaoa tse tala, ha ho na lehe, ha ho na anchovy dressing, ha ho na li-olives tsa nicoise, ha ho na eiee e khubelu.",Linaoa tse tala,neutral
2616,"Ha ho na linaoa tse tala, ha ho na lehe, ha ho na anchovy dressing, ha ho na li-olives tsa nicoise, ha ho na eiee e khubelu.",Liaparo tsa Anchovy,neutral
2619,"Ha e le hantle, ena e ne e se salate ea Nicoise mme e ne e sa ratehe.",Salate ea Nicoise,negative
2621,Mofumahali ea bohloko haufi le rona o ne a nahana hore o laetse salate (ho kenyeletsoa ho kopa ho apara salate) mme ho fapana le moo a fuoa quesedilla.,Ho apara salate,neutral
2623,Mofumahali ea bohloko haufi le rona o ne a nahana hore o laetse salate (ho kenyeletsoa ho kopa ho apara salate) mme ho fapana le moo a fuoa quesedilla.,Quesabela,neutral
2625,Mofumahali ea bohloko haufi le rona o ne a nahana hore o laetse salate (ho kenyeletsoa ho kopa ho apara salate) mme ho fapana le moo a fuoa quesedilla.,salate ea salate,neutral
2627,"Ha a ntse a tletleba, mohahlaki eo o ile a re, ""Ntshwarele.""",Moli Moli,neutral
2629,15% free e ekelitsoe ka boiketsetso ho bili.,Mahala Mahala,negative
2631,15% free e ekelitsoe ka boiketsetso ho bili.,Bill Ho,negative
2633,"Kuku ea raspberry ea chokolete e leholimong - ha e monate haholo, empa e tletse tatso.",Flavor ea,positive
2637,"Kuku ea raspberry ea chokolete e leholimong - ha e monate haholo, empa e tletse tatso.",Khekhe ea Raspberry ea Chokolete,positive
2641,Lula setulong se le seng sa litulo tse phutholohileng.,Litulo tsa litulo,positive
2644,"Sepakapaka se u isa sebakeng seo, sebaka seo ba bangata ba lorang ho sona.",Sepakapaka sa sepakapaka,positive
2646,"Hore na u khetha iced blended mocha kapa mocha e tšoeu e chesang, u na le bonnete ba hore u thabile haholo.",Hot White Mocha Mocha,positive
2648,"Hore na u khetha iced blended mocha kapa mocha e tšoeu e chesang, u na le bonnete ba hore u thabile haholo.",Ho Blended Mocha,positive
2650,"Ha u ntse u e-na le menyu e metle, ha ua lokela ho nka metsotso e leshome ho fumana lino tsa hau le 45 bakeng sa pizza e tsoekere.",Lino Lino,neutral
2652,"Ha u ntse u e-na le menyu e metle, ha ua lokela ho nka metsotso e leshome ho fumana lino tsa hau le 45 bakeng sa pizza e tsoekere.",menu ea,positive
2655,"Ha u ntse u e-na le menyu e metle, ha ua lokela ho nka metsotso e leshome ho fumana lino tsa hau le 45 bakeng sa pizza e tsoekere.",Pizza e nang le li-dessert,neutral
2657,Re ile ra qetella re tlameha ho tsoa hobane re ne re hlokomolohuoa ke basebetsi ba wait - le hoja resturante e ne e se na letho haholo.,Leta Mohasa,negative
2660,Lijo tsa hau tsa mantsiboea li ntle haholo.,Lijo tsa mantsiboea tse khethehileng,positive
2663,"Bakeng sa li-bucks tse leshome le motso o mong u fumana burrito e kholo (kapa li-tacos), Margarita, le dessert.",Li-tacos tsa,positive
2666,"Bakeng sa li-bucks tse leshome le motso o mong u fumana burrito e kholo (kapa li-tacos), Margarita, le dessert.",Margherita Ho,neutral
2668,"Bakeng sa li-bucks tse leshome le motso o mong u fumana burrito e kholo (kapa li-tacos), Margarita, le dessert.",Dessert ho,neutral
2670,"Bakeng sa li-bucks tse leshome le motso o mong u fumana burrito e kholo (kapa li-tacos), Margarita, le dessert.",Bohrone Borone,positive
2673,E loketse lijo tse potlakileng.,Lijo tsa lijo,positive
2676,"Ha e shebahale e le ngata ka ntle, empa motsotso oo u tsamaeang ka hare ho ona, ke sepakapaka se seng sohle.",Sepakapaka sa sepakapaka,positive
2678,"Ha e shebahale e le ngata ka ntle, empa motsotso oo u tsamaeang ka hare ho ona, ke sepakapaka se seng sohle.",Kantle Ho,negative
2680,Ke ne ke tloaetse ho sebelisa li-brunch bakeng sa brunch mme ke khahliloe haholo.,Brunch ea,neutral
2683,Motsoalle oa ka o ne a e-na le burger 'me ke ne ke e-na le li-pancake tsena tse ntle tsa blueberry.,Burger Eang,neutral
2685,Motsoalle oa ka o ne a e-na le burger 'me ke ne ke e-na le li-pancake tsena tse ntle tsa blueberry.,Li-pancake tsa Blueberry,positive
2688,Re ne re thabile haholo ka lijo tsa rona mme ra thaba le ho feta ha re bona bill.,Bill Ho,positive
2692,Re ne re thabile haholo ka lijo tsa rona mme ra thaba le ho feta ha re bona bill.,Lijo tsa lijo,positive
2696,Ba tlisa kariki ea sauce ho fihlela tafoleng ea hau 'me ba u fa likhetho tse ka bang 7 kapa tse 8 tsa li-sauce bakeng sa steak ea hau (ke li lekile kaofela).,Kariki ea sauce,neutral
2698,Ba tlisa kariki ea sauce ho fihlela tafoleng ea hau 'me ba u fa likhetho tse ka bang 7 kapa tse 8 tsa li-sauce bakeng sa steak ea hau (ke li lekile kaofela).,Tafole ea tafole,neutral
2700,Ba tlisa kariki ea sauce ho fihlela tafoleng ea hau 'me ba u fa likhetho tse ka bang 7 kapa tse 8 tsa li-sauce bakeng sa steak ea hau (ke li lekile kaofela).,Khetho ea li-sauces,positive
2702,Ba tlisa kariki ea sauce ho fihlela tafoleng ea hau 'me ba u fa likhetho tse ka bang 7 kapa tse 8 tsa li-sauce bakeng sa steak ea hau (ke li lekile kaofela).,Steak ho,neutral
2704,Ke eng hape eo u ka e lebellang ho tsoa ho Ritz?,Tšebeletso ea tšebeletso,positive
2707,Le li-dessert li ne li lokela ho shoa!,Dessert ho,positive
2710,Boleng ba nama bo ne bo tsamaisana le lebenkele la hau la mabenkele a lehae.,Boleng ba nama,negative
2713,Ts'ebeletso e tsebahala ka ho khumama ka morao ho etsa hore motho e mong le e mong a thabe.,Ts'ebeletso,positive
2716,"Lijana tse boletsoeng e le ""Li-Classics tsa Roy"" (tse tšoailoeng lenaneng le li-asterisks) ke lipepepe tse lekelitsoeng le tsa 'nete, tse kang macadamia-crusted mahi mahi, kapa subtly sweetly sweet honey-mustard beef ribs.","""Ho Roy's Classics""",positive
2719,"Lijana tse boletsoeng e le ""Li-Classics tsa Roy"" (tse tšoailoeng lenaneng le li-asterisks) ke lipepepe tse lekelitsoeng le tsa 'nete, tse kang macadamia-crusted mahi mahi, kapa subtly sweetly sweet honey-mustard beef ribs.",ʻO ka hoʻohaʻana o ka makahiki hou,positive
2722,"Lijana tse boletsoeng e le ""Li-Classics tsa Roy"" (tse tšoailoeng lenaneng le li-asterisks) ke lipepepe tse lekelitsoeng le tsa 'nete, tse kang macadamia-crusted mahi mahi, kapa subtly sweetly sweet honey-mustard beef ribs.",Li-cookie,positive
2725,"Lijana tse boletsoeng e le ""Li-Classics tsa Roy"" (tse tšoailoeng lenaneng le li-asterisks) ke lipepepe tse lekelitsoeng le tsa 'nete, tse kang macadamia-crusted mahi mahi, kapa subtly sweetly sweet honey-mustard beef ribs.",Honey honey-mustard nama ea khomo e khutšoanyane ea li-ribs,positive
2728,"Lijana tse boletsoeng e le ""Li-Classics tsa Roy"" (tse tšoailoeng lenaneng le li-asterisks) ke lipepepe tse lekelitsoeng le tsa 'nete, tse kang macadamia-crusted mahi mahi, kapa subtly sweetly sweet honey-mustard beef ribs.",menu ea,neutral
2730,"Lijana tse boletsoeng e le ""Li-Classics tsa Roy"" (tse tšoailoeng lenaneng le li-asterisks) ke lipepepe tse lekelitsoeng le tsa 'nete, tse kang macadamia-crusted mahi mahi, kapa subtly sweetly sweet honey-mustard beef ribs.",Li-Recipes tsa Recipes,positive
2733,"Sopho e monate ka ho fetisisa, chokolete le chokolete ea botoro tart, ha se Hawaii, empa ke lefats'e le lenyane ha ho tluoa ho monate.",limpa limpa,neutral
2735,"Sopho e monate ka ho fetisisa, chokolete le chokolete ea botoro tart, ha se Hawaii, empa ke lefats'e le lenyane ha ho tluoa ho monate.",Dessert ho,positive
2738,"Sopho e monate ka ho fetisisa, chokolete le chokolete ea botoro tart, ha se Hawaii, empa ke lefats'e le lenyane ha ho tluoa ho monate.",Chokolete le Peanut Butter Tart,positive
2740,"Lijo tsa mantsiboea li fana ka mefuta e sa tšoaneng ea lijo tsa leoatleng, ho kenyeletsoa lijo tsa leoatle tse ncha le li-steaks tse kholo, ho boetse ho na le mefuta e 'maloa ea mekhoa e meng e seng ea nama.",Li-steaks tsa,positive
2744,"Lijo tsa mantsiboea li fana ka mefuta e sa tšoaneng ea lijo tsa leoatleng, ho kenyeletsoa lijo tsa leoatle tse ncha le li-steaks tse kholo, ho boetse ho na le mefuta e 'maloa ea mekhoa e meng e seng ea nama.",Non-meat alternatives ho,neutral
2746,"Lijo tsa mantsiboea li fana ka mefuta e sa tšoaneng ea lijo tsa leoatleng, ho kenyeletsoa lijo tsa leoatle tse ncha le li-steaks tse kholo, ho boetse ho na le mefuta e 'maloa ea mekhoa e meng e seng ea nama.",Lijo tsa leoatleng,positive
2750,"Lijo tsa mantsiboea li fana ka mefuta e sa tšoaneng ea lijo tsa leoatleng, ho kenyeletsoa lijo tsa leoatle tse ncha le li-steaks tse kholo, ho boetse ho na le mefuta e 'maloa ea mekhoa e meng e seng ea nama.",kena kena,positive
2754,"Lijo tsa mantsiboea li fana ka mefuta e sa tšoaneng ea lijo tsa leoatleng, ho kenyeletsoa lijo tsa leoatle tse ncha le li-steaks tse kholo, ho boetse ho na le mefuta e 'maloa ea mekhoa e meng e seng ea nama.",Menu ea lijo tsa mantsiboea,positive
2758,"Ntho e 'ngoe le e' ngoe e na le scrumptious, ho tloha tšebeletsong e ntle ke li-waitresses tse ntle, ho ea sepakapakeng se tlokomang haholo.",Tšebeletso ea tšebeletso,positive
2762,"Ntho e 'ngoe le e' ngoe e na le scrumptious, ho tloha tšebeletsong e ntle ke li-waitresses tse ntle, ho ea sepakapakeng se tlokomang haholo.",Ho ho waitresss,positive
2766,"Ntho e 'ngoe le e' ngoe e na le scrumptious, ho tloha tšebeletsong e ntle ke li-waitresses tse ntle, ho ea sepakapakeng se tlokomang haholo.",Sepakapaka sa sepakapaka,positive
2770,"Ba hlile ba fana ka moea o khathollang, o phomotseng.",Sepakapaka sa sepakapaka,positive
2773,Ke ne ke e-na le lijo tse monate tse monate mme tsohle tseo ke li fumaneng li ne li le ka thoko hoo lijo li neng li le ka har'a reschorenteng hoo ho neng ho le serame hoo re neng re sa khone ho ja.,Sebela,neutral
2775,Ke ne ke e-na le lijo tse monate tse monate mme tsohle tseo ke li fumaneng li ne li le ka thoko hoo lijo li neng li le ka har'a reschorenteng hoo ho neng ho le serame hoo re neng re sa khone ho ja.,Lijo tsa lijo,negative
2777,Ke ne ke e-na le lijo tse monate tse monate mme tsohle tseo ke li fumaneng li ne li le ka thoko hoo lijo li neng li le ka har'a reschorenteng hoo ho neng ho le serame hoo re neng re sa khone ho ja.,Lijo tsa lijo,negative
2780,"Ho bonahala eka ha ho mohla re kileng ra leka leha e le efe ea lijo, 'me ho ne ho se motho ea ka khothalletsang veine.",Lijo tsa lijo,neutral
2782,"Ho bonahala eka ha ho mohla re kileng ra leka leha e le efe ea lijo, 'me ho ne ho se motho ea ka khothalletsang veine.",Veine ea veine,neutral
2784,"Ho bonahala eka ha ho mohla re kileng ra leka leha e le efe ea lijo, 'me ho ne ho se motho ea ka khothalletsang veine.",Moli Moli,negative
2786,ʻO ka hoʻoponopono ʻana i ka hoʻoheheʻe ʻana i ka hoʻoponopono ʻana i ka hoʻoponopono ʻana.,Halihali - Alethe Appetizer,neutral
2790,ʻO ka hoʻoponopono ʻana i ka hoʻoheheʻe ʻana i ka hoʻoponopono ʻana i ka hoʻoponopono ʻana.,Karolo ea Gras,positive
2794,Lintho tse tloaelehileng tsa Mataliana li ntle haholo - li theko e tlaase ebile li sebeletsa maemong a cozy.,Sebela,positive
2796,Lintho tse tloaelehileng tsa Mataliana li ntle haholo - li theko e tlaase ebile li sebeletsa maemong a cozy.,Toe Sets,positive
2800,Lintho tse tloaelehileng tsa Mataliana li ntle haholo - li theko e tlaase ebile li sebeletsa maemong a cozy.,Lihlooho tse tloaelehileng tsa Italy,positive
2804,ʻO ka hoʻohaʻaʻana i ka ʻaʻana o ka ʻaʻolu - ʻO ka ʻolu ʻolu,Likarolo tsa likarolo,positive
2808,ʻO ka hoʻohaʻaʻana i ka ʻaʻana o ka ʻaʻolu - ʻO ka ʻolu ʻolu,Pasta ea pasta,positive
2812,ʻO ka hoʻohaʻaʻana i ka ʻaʻana o ka ʻaʻolu - ʻO ka ʻolu ʻolu,Soe Seng,neutral
2816,Re ne re thabile haholo mme re tla khutlela morao bakeng sa li-dessert ...,Li-dessert,positive
2818,"Menyu ea ka e tsotehang le ea boqapi e kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce ea truffle e ntšo, ho bolela tse 'maloa.",Ho ho spicy cod roe spaghetti,neutral
2822,"Menyu ea ka e tsotehang le ea boqapi e kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce ea truffle e ntšo, ho bolela tse 'maloa.",ʻO ka ʻōnaehana no ka ʻōnaehana,neutral
2826,"Menyu ea ka e tsotehang le ea boqapi e kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce ea truffle e ntšo, ho bolela tse 'maloa.",Black Cod e nang le miso ea motheo,neutral
2830,"Menyu ea ka e tsotehang le ea boqapi e kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce ea truffle e ntšo, ho bolela tse 'maloa.",menu ea,positive
2834,"Menyu ea ka e tsotehang le ea boqapi e kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce ea truffle e ntšo, ho bolela tse 'maloa.",Ho ho black truffle sauce,neutral
2838,"Menyu ea ka e tsotehang le ea boqapi e kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce ea truffle e ntšo, ho bolela tse 'maloa.",Lijana tsa Majapane,neutral
2842,"Menyu ea ka e tsotehang le ea boqapi e kenyelletsa lijana tsa sejoale-joale, tsa Bophirimela tse kang Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe roe spaghetti, cod e ntšo e nang le setsi sa miso, le rack ea konyana ka sauce ea truffle e ntšo, ho bolela tse 'maloa.",Jap Style Hamburger Steak ea Jap,neutral
2846,Li-dessert li batla li makatsa: eo ke e ratang haholo ke tart ea letsatsi.,Desserts ea,positive
2850,Li-dessert li batla li makatsa: eo ke e ratang haholo ke tart ea letsatsi.,Tart ea letsatsi,positive
2854,"Tšebeletso e ntle, lijo tse ntle, boleng bo botle, 'me ha ho mohla ho hlokahala hore u eme moleng!",Tšebeletso ea tšebeletso,positive
2858,"Tšebeletso e ntle, lijo tse ntle, boleng bo botle, 'me ha ho mohla ho hlokahala hore u eme moleng!",Letebele Letebele,positive
2862,"Tšebeletso e ntle, lijo tse ntle, boleng bo botle, 'me ha ho mohla ho hlokahala hore u eme moleng!",Bohlokoa,positive
2866,"Tšebeletso e ntle, lijo tse ntle, boleng bo botle, 'me ha ho mohla ho hlokahala hore u eme moleng!",Lijo tsa lijo,positive
2870,Ke habohlokoa ho ea Chelsea bakeng sa lijo tsa mantsiboea tse monate tsa my Chelsea.,Lijo tsa mantsiboea,positive
2873,"Ke fumane monyetla oa ho ja lijong tsa hau hape libekeng tse 'maloa tse fetileng, ke ne ke le sebakeng sa hau sa ho jela sa upstrairs.",Libaka tsa ho jela tsa Upstrairs,neutral
2875,Likarolo tsa lijo tse tsoang li ne li le mahareng.,Likarolo tsa lijo,neutral
2878,U ka lula joang khoebong e kang ena?,Tšebeletso ea tšebeletso,negative
2880,"Li-spicy tuna roll, salate e kholo ea Asia.",Salate ea Asia,positive
2884,"Li-spicy tuna roll, salate e kholo ea Asia.",Ho Spicy Tuna Roll,positive
2888,Leka rose roll (eseng ho menu).,Lela Rose Roll,positive
2891,Leka rose roll (eseng ho menu).,menu ea,neutral
2893,"Na u batla ho etsa li-bar tse eketsehileng, mohlomong ke li-bar tse ling?",Bar ea marulelo,neutral
2895,"Na u batla ho etsa li-bar tse eketsehileng, mohlomong ke li-bar tse ling?",Litafole,negative
2897,"Guacamole e iketselitsoeng, kenyelletso e sa kholoeng, le mahoatateng a makatsang ka ho fetesisa.",Li-deserts tsa lehoatata,positive
2901,"Guacamole e iketselitsoeng, kenyelletso e sa kholoeng, le mahoatateng a makatsang ka ho fetesisa.",Entrée Ho Ho,positive
2905,"Guacamole e iketselitsoeng, kenyelletso e sa kholoeng, le mahoatateng a makatsang ka ho fetesisa.","Home "" Guacamoleng",positive
2908,"Haeba u morati oa tequila, u ke ke ua soetseha.",Tequila Toe,positive
2911,Tlisa letsatsi la hau le botlolo ea veine!,Veine bottle,neutral
2913,"Ho na le li-link tse ngata, ka hona, ho molemo hore u phutholohe ka li-imeile tse ling.",Litafole,negative
2916,Lijo li ne li le bohlale joalo ka décor mme ka bobeli li ile tsa sebetsa.,"Ho ho ho, décoco",positive
2919,Lijo li ne li le bohlale joalo ka décor mme ka bobeli li ile tsa sebetsa.,Lijo tsa lijo,positive
2922,"Tlhahiso feela ke hore u tlola sopho e monate, e ne e phahame haholo 'me ea oela ka mokhoa o khuts'oane ka tatso.",Dessert ho,negative
2926,"Tlhahiso feela ke hore u tlola sopho e monate, e ne e phahame haholo 'me ea oela ka mokhoa o khuts'oane ka tatso.",Tatso ea,negative
2930,"Li-sandwich, li-burger le lisalate, joalo ka cobb e apereng lemon, ke katleho ea khale.",Sandwiches ea,positive
2933,"Li-sandwich, li-burger le lisalate, joalo ka cobb e apereng lemon, ke katleho ea khale.",Baang Baang,positive
2936,"Li-sandwich, li-burger le lisalate, joalo ka cobb e apereng lemon, ke katleho ea khale.",salate ea,positive
2939,"Li-sandwich, li-burger le lisalate, joalo ka cobb e apereng lemon, ke katleho ea khale.",Wholesale Lemon Coat,positive
